HP:0000001	C0444868	All
HP:0010584	C1841685	Pseudoepiphyses
HP:0010585	C1846803	Small epiphyses
HP:0010587	C4023784	Triangular epiphyses
HP:0010588	C0151628	Premature epimetaphyseal fusion
HP:0010590	C4023783	Abnormality of the distal femoral epiphysis
HP:0010591	C4023782	Abnormality of the proximal tibial epiphysis
HP:0010592	C4023781	Abnormality of the distal tibial epiphysis
HP:0010593	C4023780	Abnormality of fibular epiphyses
HP:0010594	C4023779	Abnormality of the proximal fibular epiphysis
HP:0010595	C4023778	Abnormality of the distal fibular epiphysis
HP:0010596	C4023777	Abnormality of the proximal radial epiphysis
HP:0010597	C4023776	Abnormality of the distal radial epiphysis
HP:0010598	C4023775	Abnormality of the proximal humeral epiphysis
HP:0010599	C4023774	Abnormality of the distal humeral epiphysis
HP:0010600	C4023773	Abnormality of the distal ulnar epiphysis
HP:0010601	C4023772	Abnormality of the proximal ulnar epiphysis
HP:0010602	C3277187	Type 2 muscle fiber predominance
HP:0010603	C1708604	Odontogenic keratocysts of the jaw
HP:0010604	C0155218	Cyst of the eyelid
HP:0010604	C0424844	Cyst of the eyelid
HP:0010604	C0578590	Cyst of the eyelid
HP:0010605	C0007933	Chalazion
HP:0010606	C0019917	Hordeolum
HP:0010606	C4280376	Hordeolum
HP:0010607	C0019919	Hordeolum externum
HP:0010608	C0085690	Hordeolum internum
HP:0010608	C4280375	Hordeolum internum
HP:0010609	C0037293	Skin tags
HP:0010610	C0423776	Palmar pits
HP:0010612	C1852301	Plantar pits
HP:0010614	C0016045	Fibroma
HP:0010615	C0206731	Angiofibromas
HP:0010616	C1334444	Lung fibroma
HP:0010617	C1096654	Cardiac fibroma
HP:0010618	C0149951	Ovarian fibroma
HP:0010619	C0178421	Fibroadenoma of the breast
HP:0010620	C1858732	Malar prominence
HP:0010620	C4280374	Malar prominence
HP:0010621	C1834737	Cutaneous syndactyly of toes
HP:0010622	C2732838	Neoplasm of the skeletal system
HP:0010622	C4020771	Neoplasm of the skeletal system
HP:0010624	C1856749	Aplastic/hypoplastic toenail
HP:0010625	C0032008	Anterior pituitary dysgenesis
HP:0010625	C4023771	Anterior pituitary dysgenesis
HP:0010626	C4021249	Anterior pituitary agenesis
HP:0010627	C0948740	Anterior pituitary hypoplasia
HP:0010627	C1859775	Anterior pituitary hypoplasia
HP:0010628	C0376175	Facial palsy
HP:0010628	C0427055	Facial palsy
HP:0010628	C1858719	Facial palsy
HP:0010629	C4023770	Abnormal morphology of the cortex of the humerus
HP:0010630	C4021248	Abnormality of metatarsal epiphysis
HP:0010631	C4023769	Abnormality of the epiphyses of the feet
HP:0010632	C4023768	Total anosmia
HP:0010633	C4023767	Partial anosmia
HP:0010634	C4023766	Total hyposmia
HP:0010635	C4023765	Partial hyposmia
HP:0010636	C0266484	Schizencephaly
HP:0010637	C0268402	Conjunctival amyloidosis
HP:0010638	C4023764	Elevated alkaline phosphatase of hepatic origin
HP:0010639	C1833667	Elevated alkaline phosphatase of bone origin
HP:0010640	C4023763	Abnormality of the nasal cavity
HP:0010641	C4021861	Abnormality of the midnasal cavity
HP:0010643	C4023762	Midnasal atresia
HP:0010644	C1840238	Midnasal stenosis
HP:0010645	C4023761	Aplasia of the distal phalanges of the toes
HP:0010646	C0410652	Cervical spine instability
HP:0010647	C4023760	Abnormal elasticity of skin
HP:0010648	C1836646	Dermal translucency
HP:0010649	C4023759	Flat nasal alae
HP:0010650	C4020770	Hypoplasia of the premaxilla
HP:0010650	C4072878	Hypoplasia of the premaxilla
HP:0010651	C4023758	Abnormality of the meninges
HP:0010652	C4023757	Abnormality of the dura mater
HP:0010653	C4021247	Abnormality of the falx cerebri
HP:0010654	C4023756	Aplasia of the falx cerebri
HP:0010655	C1859126	Epiphyseal stippling
HP:0010656	C4021246	Abnormal epiphyseal ossification
HP:0010657	C4023755	Patchy reduction of bone mineral density
HP:0010658	C4023754	Patchy changes of bone mineral density
HP:0010659	C4021245	Patchy variation in bone mineral density
HP:0010660	C4021244	Abnormal hand bone ossification
HP:0010661	C4023753	Absence of the third cerebral ventricle
HP:0010662	C4023752	Abnormality of the diencephalon
HP:0010663	C4021243	Abnormality of thalamus morphology
HP:0010664	C1834930	Fusion of the left and right thalami
HP:0010664	C4020769	Fusion of the left and right thalami
HP:0010665	C3810018	Bilateral coxa valga
HP:0010666	C4023751	Hypoplasia of the anterior nasal spine
HP:0010666	C4280372	Hypoplasia of the anterior nasal spine
HP:0010666	C4280373	Hypoplasia of the anterior nasal spine
HP:0010667	C4023750	Aplasia of the maxilla
HP:0010667	C4280371	Aplasia of the maxilla
HP:0010668	C4023749	Abnormality of the zygomatic bone
HP:0010669	C4021242	Hypoplasia of the zygomatic bone
HP:0010669	C4072879	Hypoplasia of the zygomatic bone
HP:0010669	C4280368	Hypoplasia of the zygomatic bone
HP:0010669	C4280369	Hypoplasia of the zygomatic bone
HP:0010669	C4280370	Hypoplasia of the zygomatic bone
HP:0010672	C4023748	Abnormality of the third metatarsal bone
HP:0010674	C4023747	Abnormality of the curvature of the vertebral column
HP:0010675	C4020768	Abnormal foot bone ossification
HP:0010675	C4021241	Abnormal foot bone ossification
HP:0010675	C4280367	Abnormal foot bone ossification
HP:0010676	C0400843	Mechanical ileus
HP:0010677	C0270327	Enuresis nocturna
HP:0010678	C4023746	Enuresis diurna
HP:0010679	C4021240	Elevated tissue non-specific alkaline phosphatase
HP:0010680	C4023745	Elevated alkaline phosphatase of renal origin
HP:0010681	C4023744	Elevated intestinal alkaline phosphatase
HP:0010682	C4023743	Elevated placental alkaline phosphatase
HP:0010683	C4023742	Low tissue non-specific alkaline phosphatase
HP:0010684	C4023741	Low alkaline phosphatase of bone origin
HP:0010685	C4023740	Low alkaline phosphatase of renal origin
HP:0010686	C4023739	Low alkaline phosphatase of hepatic origin
HP:0010687	C4023738	Low intestinal alkaline phosphatase
HP:0010688	C4023737	Low placental alkaline phosphatase
HP:0010689	C1851100	Mirror image polydactyly
HP:0010690	C4021239	Mirror image hand polydactyly
HP:0010691	C4021238	Mirror image foot polydactyly
HP:0010692	C4023736	2-5 finger syndactyly
HP:0010693	C1833118	Pulverulent cataract
HP:0010694	C4023735	Lamellar pulverulent cataract
HP:0010695	C4023734	Sutural cataract
HP:0010696	C2025392	Polar cataract
HP:0010697	C1392099	Anterior pyramidal cataract
HP:0010698	C4021237	Nuclear pulverulent cataract
HP:0010699	C4023733	Triangular nuclear cataract
HP:0010700	C3665439	Total cataract
HP:0010701	C1855755	Abnormal immunoglobulin level
HP:0010702	C0020455	Increased antibody level in blood
HP:0010702	C0151669	Increased antibody level in blood
HP:0010702	C0541985	Increased antibody level in blood
HP:0010702	C1306857	Increased antibody level in blood
HP:0010702	C2048011	Increased antibody level in blood
HP:0010704	C4023732	1-2 finger syndactyly
HP:0010705	C4023731	4-5 finger syndactyly
HP:0010706	C4023730	1-3 finger syndactyly
HP:0010707	C4023729	1-4 finger syndactyly
HP:0010708	C4023728	1-5 finger syndactyly
HP:0010709	C4021236	2-4 finger syndactyly
HP:0010710	C4023727	3-5 finger syndactyly
HP:0010711	C4023726	1-2 toe syndactyly
HP:0010712	C4023725	1-4 toe syndactyly
HP:0010713	C4021235	1-5 toe syndactyly
HP:0010714	C4021234	2-4 toe syndactyly
HP:0010715	C4023724	2-5 toe syndactyly
HP:0010716	C4023723	3-5 toe syndactyly
HP:0010717	C0158738	Osseous syndactyly of toes
HP:0010719	C4023722	Abnormality of hair texture
HP:0010719	C4072880	Abnormality of hair texture
HP:0010719	C4072881	Abnormality of hair texture
HP:0010719	C4073290	Abnormality of hair texture
HP:0010720	C4023721	Abnormal hair pattern
HP:0010721	C3280303	Abnormal hair whorl
HP:0010722	C1168239	Asymmetry of the ears
HP:0010723	C4023720	Cystic lesions of the pinnae
HP:0010724	C4021828	Advanced pneumatization of the mastoid process
HP:0010726	C4021233	Prominent corneal nerve fibers
HP:0010727	C4023719	Spontaneous rupture of the globe
HP:0010728	C4023718	Aplasia of the retina
HP:0010729	C2216370	Cherry red spot of the macula
HP:0010730	C0431449	Double eyebrow
HP:0010731	C4023717	Extension of eyebrows towards upper eyelid
HP:0010732	C4023716	Nodular changes affecting the eyelids
HP:0010733	C1854409	Naevus flammeus of the eyelid
HP:0010734	C0016063	Fibrous dysplasia of the bones
HP:0010735	C0016065	Polyostotic fibrous dysplasia
HP:0010736	C0016064	Monostotic fibrous dysplasia
HP:0010739	C0029455	Osteopoikilosis
HP:0010740	C0265513	Osteopathia striata
HP:0010741	C0235886	Edema of the lower limbs
HP:0010741	C0239340	Edema of the lower limbs
HP:0010742	C0522035	Edema of the upper limbs
HP:0010743	C1849020	Short metatarsal
HP:0010744	C4021232	Absent metatarsal bone
HP:0010745	C4021231	Aplasia of the phalanges of the toes
HP:0010746	C4023715	Hypoplasia of the phalanges of the toes
HP:0010747	C1844562	Medial flaring of the eyebrow
HP:0010748	C4021230	Ectopic lacrimal punctum
HP:0010749	C0005742	Blepharochalasis
HP:0010750	C0423124	Dermatochalasis
HP:0010750	C2674149	Dermatochalasis
HP:0010751	C1849227	Dimple chin
HP:0010752	C0685786	Cleft mandible
HP:0010753	C4023714	Midline defect of mandible
HP:0010754	C0266941	Abnormality of the temporomandibular joint
HP:0010754	C0424721	Abnormality of the temporomandibular joint
HP:0010754	C1865318	Abnormality of the temporomandibular joint
HP:0010754	C4280366	Abnormality of the temporomandibular joint
HP:0010755	C0399519	Asymmetry of the maxilla
HP:0010756	C4023713	Aplasia/Hypoplasia of the premaxilla
HP:0010757	C4023712	Aplasia of the premaxilla
HP:0010758	C4023711	Abnormality of the premaxilla
HP:0010759	C2749369	Prominence of the premaxilla
HP:0010760	C3553754	Absent toe
HP:0010761	C1851059	Broad columella
HP:0010761	C4280365	Broad columella
HP:0010762	C0008487	Chordoma
HP:0010763	C4021229	Low insertion of columella
HP:0010763	C4280364	Low insertion of columella
HP:0010764	C2748682	Short eyelashes
HP:0010765	C4023710	Palmar hyperkeratosis
HP:0010766	C3806226	Ectopic calcification
HP:0010767	C4023709	Sacrococcygeal pilonidal abnormality
HP:0010769	C0031925	Pilonidal sinus
HP:0010770	C0031925	Pilonidal fistula
HP:0010771	C3537055	Pilonidal abscess
HP:0010772	C0036400	Anomalous pulmonary venous return
HP:0010773	C0158634	Partial anomalous pulmonary venous return
HP:0010774	C4023708	Cor triatriatum
HP:0010775	C0221214	Vascular ring
HP:0010776	C4023707	Tracheobronchmegaly
HP:0010777	C4023706	Bronchomegaly
HP:0010778	C4023705	Tracheomegaly
HP:0010779	C4019074	Large pelvis bone
HP:0010779	C4072882	Large pelvis bone
HP:0010780	C0034880	Hyperacusis
HP:0010781	C0578531	Skin dimples
HP:0010782	C4023704	Shoulder dimples
HP:0010783	C0016382	Erythema
HP:0010783	C0041834	Erythema
HP:0010784	C0042138	Uterine neoplasm
HP:0010785	C4021228	Gonadal neoplasm
HP:0010786	C0042076	Urinary tract neoplasm
HP:0010787	C0679347	Genital neoplasm
HP:0010787	C4020767	Genital neoplasm
HP:0010788	C0039590	Testicular neoplasm
HP:0010789	C4023703	Abnormality of the Leydig cells
HP:0010790	C4023702	Hyoplasia of the Leydig cells
HP:0010791	C0023600	Hyperplasia of the Leydig cells
HP:0010793	C0544857	Bifid nail
HP:0010794	C4023701	Impaired visuospatial constructive cognition
HP:0010795	C4023700	Cerebellar glioma
HP:0010796	C0677865	Brainstem glioma
HP:0010797	C0206734	Hemangioblastoma
HP:0010798	C0406814	Lip freckle
HP:0010799	C0031941	Pinealoma
HP:0010800	C2053435	Absent cupid's bow
HP:0010801	C4021227	Underdeveloped nasolabial fold
HP:0010802	C4023699	Perioral hyperpigmentation
HP:0010803	C3275452	Everted upper lip vermilion
HP:0010803	C4023698	Everted upper lip vermilion
HP:0010803	C4280363	Everted upper lip vermilion
HP:0010804	C1839767	Tented upper lip vermilion
HP:0010804	C1850072	Tented upper lip vermilion
HP:0010804	C1853383	Tented upper lip vermilion
HP:0010805	C3553471	Upturned corners of mouth
HP:0010806	C1856202	U-Shaped upper lip vermilion
HP:0010807	C0266061	Open bite
HP:0010808	C0241442	Protruding tongue
HP:0010809	C3693299	Broad uvula
HP:0010810	C4023697	Long uvula
HP:0010810	C4280362	Long uvula
HP:0010811	C4023696	Narrow uvula
HP:0010812	C1401781	Short uvula
HP:0010813	C4023695	Abnormal number of hair whorls
HP:0010814	C4023694	Abnormal position of hair whorl
HP:0010815	C3854181	Nevus sebaceous
HP:0010816	C0334082	Epidermal nevus
HP:0010817	C3854181	Linear nevus sebaceous
HP:0010818	C1836508	Generalized tonic seizures
HP:0010819	C0270846	Atonic seizures
HP:0010819	C1836509	Atonic seizures
HP:0010820	C4023693	Dacrystic seizures
HP:0010821	C0270820	Gelastic seizures
HP:0010822	C0235068	Scintillating scotoma
HP:0010823	C4023692	Ridged cranial sutures
HP:0010824	C4021226	Abnormal fifth cranial nerve morphology
HP:0010825	C4021225	Abnormality of the eleventh cranial nerve
HP:0010826	C4021224	Abnormality of the twelfth cranial nerve
HP:0010827	C4021223	Abnormality of the seventh cranial nerve
HP:0010828	C0278152	Hemifacial spasm
HP:0010829	C4021222	Impaired temperature sensation
HP:0010830	C4021221	Impaired tactile sensation
HP:0010831	C1856691	Impaired proprioception
HP:0010832	C4023691	Abnormality of pain sensation
HP:0010833	C4023690	Spontaneous pain sensation
HP:0010834	C4021220	Trophic changes related to pain
HP:0010835	C0278136	Dissociated sensory loss
HP:0010836	C4020766	Abnormality of copper homeostasis
HP:0010836	C4023689	Abnormality of copper homeostasis
HP:0010837	C0240997	Decreased serum ceruloplasmin
HP:0010838	C1848459	High nonceruloplasmin-bound serum copper
HP:0010839	C4023688	Increased urinary copper concentration
HP:0010841	C4021219	Multifocal epileptiform discharges
HP:0010843	C4021218	EEG with focal slow activity
HP:0010844	C4023687	EEG with multifocal slow activity
HP:0010845	C4021217	EEG with generalized slow activity
HP:0010846	C4021216	EEG with persistent abnormal rhythmic activity
HP:0010847	C4023686	EEG with spike-wave complexes (<2.5 Hz)
HP:0010848	C4023685	EEG with spike-wave complexes (2.5-3.5 Hz)
HP:0010849	C4020765	EEG with spike-wave complexes (>3.5 Hz)
HP:0010849	C4023684	EEG with spike-wave complexes (>3.5 Hz)
HP:0010850	C4023683	EEG with spike-wave complexes
HP:0010851	C1969156	EEG with burst suppression
HP:0010852	C3552821	EEG with photoparoxysmal response
HP:0010853	C4021215	EEG with periodic lateralized epileptiform discharges
HP:0010854	C4021214	EEG with generalized low amplitude activity
HP:0010855	C4021213	EEG with localized low amplitude activity
HP:0010856	C4021212	EEG with periodic complexes
HP:0010857	C4021211	EEG with periodic abnormalities
HP:0010858	C4023682	EEG with hyperventilation-induced epileptiform discharges
HP:0010859	C0233286	Frank breech presentation
HP:0010860	C0233283	Complete breech presentation
HP:0010861	C0426146	Incomplete breech presentation
HP:0010862	C4023681	Delayed fine motor development
HP:0010863	C0454642	Receptive language delay
HP:0010864	C0036857	Intellectual disability, severe
HP:0010865	C0029121	Oppositional defiant disorder
HP:0010866	C0238577	Abdominal wall defect
HP:0010867	C0004134	Dyssynergia
HP:0010868	C4023680	Ocular dyssynergia
HP:0010869	C0234355	Asynergia
HP:0010871	C0037921	Sensory ataxia
HP:0010871	C0240991	Sensory ataxia
HP:0010872	C0520888	T-wave inversion
HP:0010873	C0742191	Cervical spinal cord atrophy
HP:0010874	C0221253	Tendon xanthomatosis
HP:0010875	C1531651	Chaddock reflex
HP:0010876	C4020763	Abnormality of circulating protein level
HP:0010876	C4020764	Abnormality of circulating protein level
HP:0010876	C4023679	Abnormality of circulating protein level
HP:0010877	C4023678	Monocular strabismus
HP:0010878	C0948242	Fetal cystic hygroma
HP:0010879	C4023677	Postnatal cystic hygroma
HP:0010880	C4023676	Increased nuchal translucency
HP:0010881	C0266785	Abnormality of the umbilical cord
HP:0010882	C0242855	Pulmonary valve atresia
HP:0010883	C0265843	Aortic valve atresia
HP:0010884	C4023675	Acromelia
HP:0010885	C0029445	Aseptic necrosis
HP:0010885	C0085660	Aseptic necrosis
HP:0010885	C0520474	Aseptic necrosis
HP:0010885	C0877326	Aseptic necrosis
HP:0010886	C0029421	Osteochondritis Dissecans
HP:0010888	C4023674	Morbus Koehler
HP:0010889	C0022682	Morbus Kienboeck
HP:0010890	C0029376	Morbus Osgood-Schlatter
HP:0010891	C0036310	Morbus Scheuermann
HP:0010892	C4023673	Abnormality of branched chain family amino acid metabolism
HP:0010893	C4023672	Abnormality of phenylalanine metabolism
HP:0010894	C4023671	Abnormality of serine family amino acid metabolism
HP:0010895	C4023670	Abnormality of glycine metabolism
HP:0010896	C0268563	Hypersarcosinemia
HP:0010897	C4023669	Hypersarcosinuria
HP:0010898	C4023668	Abnormality of sarcosine metabolism
HP:0010899	C4023667	Abnormality of aspartate family amino acid metabolism
HP:0010900	C4023666	Abnormality of threonine metabolism
HP:0010901	C4023665	Abnormality of methionine metabolism
HP:0010902	C4023664	Abnormality of glutamine family amino acid metabolism
HP:0010903	C4023663	Abnormality of glutamine metabolism
HP:0010904	C4023662	Abnormality of histidine metabolism
HP:0010906	C0220992	Hyperhistidinemia
HP:0010907	C4023661	Abnormality of proline metabolism
HP:0010908	C4023660	Abnormality of lysine metabolism
HP:0010909	C4023659	Abnormality of arginine metabolism
HP:0010910	C0268573	Hypervalinemia
HP:0010911	C0268576	Hyperleucinemia
HP:0010912	C4023658	Abnormality of isoleucine metabolism
HP:0010913	C4023657	Hyperisoleucinemia
HP:0010914	C4023656	Abnormality of valine metabolism
HP:0010915	C4023655	Abnormality of pyruvate family amino acid metabolism
HP:0010916	C4023654	Abnormality of alanine metabolism
HP:0010917	C4023653	Abnormality of tyrosine metabolism
HP:0010918	C4023652	Abnormality of cysteine metabolism
HP:0010919	C4023651	Abnormality of homocysteine metabolism
HP:0010920	C1861821	Zonular cataract
HP:0010921	C1392104	Coralliform cataract
HP:0010922	C0524524	Membranous cataract
HP:0010923	C1112768	Anterior subcapsular cataract
HP:0010924	C4023650	Posterior cortical cataract
HP:0010925	C4023649	Nuclear punctate cataract
HP:0010926	C1861832	Aculeiform cataract
HP:0010927	C4023648	Abnormality of divalent inorganic cation homeostasis
HP:0010928	C4023647	Abnormality of orotic acid metabolism
HP:0010929	C4023646	Abnormality of cation homeostasis
HP:0010930	C4023645	Abnormality of monovalent inorganic cation homeostasis
HP:0010931	C4023644	Abnormality of sodium homeostasis
HP:0010932	C4020762	Abnormality of nucleobase metabolism
HP:0010932	C4023643	Abnormality of nucleobase metabolism
HP:0010933	C4023642	Abnormality of xanthine metabolism
HP:0010934	C0220988	Xanthinuria
HP:0010935	C4023641	Abnormality of the upper urinary tract
HP:0010936	C4023640	Abnormality of the lower urinary tract
HP:0010937	C4023639	Abnormality of the nasal skeleton
HP:0010937	C4280361	Abnormality of the nasal skeleton
HP:0010938	C2164724	Abnormality of the external nose
HP:0010938	C4023638	Abnormality of the external nose
HP:0010938	C4280360	Abnormality of the external nose
HP:0010939	C4023637	Abnormality of the nasal bone
HP:0010940	C4023636	Aplasia/Hypoplasia of the nasal bone
HP:0010941	C0339850	Aplasia of the nasal bone
HP:0010941	C0339851	Aplasia of the nasal bone
HP:0010941	C4023635	Aplasia of the nasal bone
HP:0010942	C4023634	Echogenic intracardiac focus
HP:0010943	C2936423	Echogenic fetal bowel
HP:0010944	C4023633	Abnormality of the renal pelvis
HP:0010945	C2317073	Fetal pyelectasis
HP:0010946	C1868864	Dilatation of the renal pelvis
HP:0010947	C4023632	Abnormality of ductus venosus blood flow
HP:0010948	C4021210	Abnormality of the fetal cardiovascular system
HP:0010949	C4023631	Abnormality of umbilical vein blood flow
HP:0010950	C4023630	Abnormality of the fourth ventricle
HP:0010951	C4023629	Abnormality of the third ventricle
HP:0010952	C4023628	Mild fetal ventriculomegaly
HP:0010953	C0549423	Noncommunicating hydrocephalus
HP:0010954	C0265856	Hypoplastic right heart
HP:0010954	C0344963	Hypoplastic right heart
HP:0010955	C0549253	Dilatation of the bladder
HP:0010956	C2931117	Fetal megacystis
HP:0010957	C0238506	Congenital posterior urethral valve
HP:0010958	C1609433	Bilateral renal agenesis
HP:0010959	C0010668	Congenital cystic adenomatoid malformation of the lung
HP:0010960	C0006288	Bronchopulmonary sequestration
HP:0010961	C4023627	Intralobar sequestration
HP:0010962	C4023626	Extralobar sequestration
HP:0010963	C4023625	Absence of stomach bubble on fetal sonography
HP:0010964	C4023624	Abnormality of long-chain fatty-acid metabolism
HP:0010965	C4023623	Abnormality of phytanic acid metabolism
HP:0010966	C4021209	Abnormality of fatty-acid anion metabolism
HP:0010967	C4020761	Abnormality of carnitine metabolism
HP:0010967	C4021855	Abnormality of carnitine metabolism
HP:0010968	C4023622	Abnormality of liposaccharide metabolism
HP:0010969	C4023621	Abnormality of glycolipid metabolism
HP:0010970	C4023620	Blood group antigen abnormality
HP:0010971	C4023619	Absence of Lutheran antigen on erythrocytes
HP:0010972	C0392708	Anemia of inadequate production
HP:0010972	C0678199	Anemia of inadequate production
HP:0010974	C4023618	Abnormality of myeloid leukocytes
HP:0010975	C4021208	Abnormal B cell count
HP:0010976	C1855067	B lymphocytopenia
HP:0010977	C4023617	Abnormality of phagocytes
HP:0010978	C4023616	Abnormality of immune system physiology
HP:0010979	C4023615	Abnormality lipoprotein cholesterol concentration
HP:0010980	C0020476	Hyperlipoproteinemia
HP:0010981	C0020623	Hypolipoproteinemia
HP:0010982	C1148552	Polygenic inheritance
HP:0010983	C1136026	Oligogenic inheritance
HP:0010984	C4023614	Digenic inheritance
HP:0010985	C4023613	Gonosomal inheritance
HP:0010987	C4023612	Abnormality of cellular immune system
HP:0010988	C4023611	Abnormality of the extrinsic pathway
HP:0010989	C4023610	Abnormality of the intrinsic pathway
HP:0010990	C4023609	Abnormality of the common coagulation pathway
HP:0010991	C4023608	Abnormality of the abdominal musculature
HP:0010992	C0042025	Stress urinary incontinence
HP:0010993	C4021207	Abnormality of the cerebral subcortex
HP:0010994	C4023607	Abnormal corpus striatum morphology
HP:0010995	C4023606	Abnormality of dicarboxylic acid metabolism
HP:0010996	C4023605	Abnormality of monocarboxylic acid metabolism
HP:0010997	C4021206	Chromosomal breakage induced by ionizing radiation
HP:0010998	C4023604	Increased susceptibility to spontaneous sister chromatid exchange
HP:0010999	C4023603	Aplasia of the optic tract
HP:0011000	C4023602	Aplasia/Hypoplasia of the optic tract
HP:0011001	C0029464	Increased bone mineral density
HP:0011002	C0029454	Osteopetrosis
HP:0011003	C0271183	High myopia
HP:0011004	C0151489	Abnormal systemic arterial morphology
HP:0011004	C4021205	Abnormal systemic arterial morphology
HP:0011005	C1392669	Mixed cirrhosis
HP:0011006	C4023601	Abnormality of the musculature of the neck
HP:0011008	C4021204	Temporal pattern
HP:0011009	C0205178	Acute
HP:0011010	C0205191	Chronic
HP:0011011	C0205365	Subacute
HP:0011012	C4023600	Abnormality of polysaccharide metabolism
HP:0011013	C4023599	Abnormality of carbohydrate metabolism/homeostasis
HP:0011014	C4023598	Abnormal glucose homeostasis
HP:0011015	C4023597	Abnormality of blood glucose concentration
HP:0011016	C4023596	Abnormality of urine glucose concentration
HP:0011017	C4023595	Abnormality of cell physiology
HP:0011018	C4023594	Abnormality of the cell cycle
HP:0011019	C4023593	Abnormality of chromosome condensation
HP:0011020	C4023592	Abnormality of mucopolysaccharide metabolism
HP:0011021	C4023591	Abnormality of circulating enzyme level
HP:0011022	C4023590	Abnormality of unsaturated fatty acid metabolism
HP:0011023	C4023589	Abnormality of prostaglandin metabolism
HP:0011024	C0012242	Abnormality of the gastrointestinal tract
HP:0011024	C0017178	Abnormality of the gastrointestinal tract
HP:0011024	C4023588	Abnormality of the gastrointestinal tract
HP:0011025	C4023587	Abnormality of cardiovascular system physiology
HP:0011026	C4023586	Aplasia/Hypoplasia of the vagina
HP:0011027	C0281842	Abnormality of the fallopian tube
HP:0011028	C4020760	Abnormality of blood circulation
HP:0011028	C4023585	Abnormality of blood circulation
HP:0011029	C1390214	Internal hemorrhage
HP:0011030	C4023584	Abnormality of transition element cation homeostasis
HP:0011031	C4023583	Abnormality of iron homeostasis
HP:0011032	C2364164	Abnormality of fluid regulation
HP:0011033	C4023581	Impairment of fructose metabolism
HP:0011034	C0002726	Amyloidosis
HP:0011035	C4023580	Abnormality of renal cortex morphology
HP:0011036	C4023579	Abnormality of renal excretion
HP:0011037	C3887784	Decreased urine output
HP:0011038	C4023578	Abnormality of renal resorption
HP:0011039	C1856660	Abnormality of the helix
HP:0011040	C4023577	Abnormality of the intrahepatic bile duct
HP:0011041	C4023576	Aplasia/Hypoplasia of the cervical spine
HP:0011042	C4023575	Abnormality of potassium homeostasis
HP:0011043	C4023574	Abnormality of circulating adrenocorticotropin level
HP:0011044	C4023573	Abnormal number of permanent teeth
HP:0011045	C4023572	Agenesis of permanent maxillary central incisor
HP:0011045	C4280358	Agenesis of permanent maxillary central incisor
HP:0011045	C4280359	Agenesis of permanent maxillary central incisor
HP:0011046	C4023571	Agenesis of primary maxillary central incisor
HP:0011046	C4280357	Agenesis of primary maxillary central incisor
HP:0011047	C4023570	Agenesis of primary mandibular central incisor
HP:0011047	C4280355	Agenesis of primary mandibular central incisor
HP:0011047	C4280356	Agenesis of primary mandibular central incisor
HP:0011048	C4023569	Agenesis of permanent mandibular central incisor
HP:0011048	C4280354	Agenesis of permanent mandibular central incisor
HP:0011049	C4023568	Agenesis of primary maxillary lateral incisor
HP:0011049	C4280353	Agenesis of primary maxillary lateral incisor
HP:0011050	C4023567	Agenesis of permanent maxillary lateral incisor
HP:0011050	C4280352	Agenesis of permanent maxillary lateral incisor
HP:0011051	C4023566	Agenesis of premolar
HP:0011051	C4280351	Agenesis of premolar
HP:0011052	C4023565	Agenesis of maxillary premolar
HP:0011052	C4280350	Agenesis of maxillary premolar
HP:0011053	C4023564	Agenesis of mandibular premolar
HP:0011053	C4280349	Agenesis of mandibular premolar
HP:0011054	C4021203	Agenesis of molar
HP:0011054	C4280348	Agenesis of molar
HP:0011055	C4023563	Agenesis of permanent molar
HP:0011055	C4280347	Agenesis of permanent molar
HP:0011056	C4023562	Agenesis of first permanent molar tooth
HP:0011056	C4280346	Agenesis of first permanent molar tooth
HP:0011057	C4023561	Agenesis of second permanent molar
HP:0011057	C4280257	Agenesis of second permanent molar
HP:0011058	C4023560	Generalized periodontitis
HP:0011058	C4280345	Generalized periodontitis
HP:0011059	C4023559	Localized periodontitis
HP:0011059	C4280344	Localized periodontitis
HP:0011060	C0011430	Dentinogenesis imperfecta limited to primary teeth
HP:0011060	C4023558	Dentinogenesis imperfecta limited to primary teeth
HP:0011061	C4023557	Abnormality of dental structure
HP:0011062	C4023556	Misalignment of incisors
HP:0011062	C4280343	Misalignment of incisors
HP:0011063	C4023555	Abnormality of incisor morphology
HP:0011064	C4023554	Abnormal number of incisors
HP:0011065	C1856136	Conical incisor
HP:0011065	C4020759	Conical incisor
HP:0011065	C4280341	Conical incisor
HP:0011065	C4280342	Conical incisor
HP:0011067	C0040457	Mesiodens
HP:0011067	C0266030	Mesiodens
HP:0011067	C4280340	Mesiodens
HP:0011068	C0028882	Odontoma
HP:0011069	C0040457	Increased number of teeth
HP:0011070	C4023553	Abnormality of molar morphology
HP:0011071	C4023552	Abnormality of permanent molar morphology
HP:0011072	C0399379	Rootless teeth
HP:0011072	C4082200	Rootless teeth
HP:0011073	C4023551	Abnormality of dental color
HP:0011074	C4023550	Localized hypoplasia of dental enamel
HP:0011074	C4280339	Localized hypoplasia of dental enamel
HP:0011075	C4023549	Green teeth
HP:0011076	C4023548	Abnormality of premolar
HP:0011077	C4023547	Abnormality of molar
HP:0011078	C4023546	Abnormality of canine
HP:0011079	C0040456	Impacted tooth
HP:0011079	C4280338	Impacted tooth
